src/components/Piece.jsx: line 3, col 1, 'import' is only available in ES6 (use 'esversion: 6').
src/components/Piece.jsx: line 4, col 1, 'import' is only available in ES6 (use 'esversion: 6').
src/components/Piece.jsx: line 5, col 1, 'import' is only available in ES6 (use 'esversion: 6').
src/components/Piece.jsx: line 7, col 1, 'const' is available in ES6 (use 'esversion: 6') or Mozilla JS extensions (use moz).
src/components/Piece.jsx: line 8, col 5, 'concise methods' is available in ES6 (use 'esversion: 6') or Mozilla JS extensions (use moz).
src/components/Piece.jsx: line 20, col 6, Missing semicolon.
src/components/Piece.jsx: line 23, col 1, 'class' is available in ES6 (use 'esversion: 6') or Mozilla JS extensions (use moz).
src/components/Piece.jsx: line 25, col 9, 'const' is available in ES6 (use 'esversion: 6') or Mozilla JS extensions (use moz).
src/components/Piece.jsx: line 25, col 9, 'destructuring binding' is available in ES6 (use 'esversion: 6') or Mozilla JS extensions (use moz).
src/components/Piece.jsx: line 27, col 9, 'const' is available in ES6 (use 'esversion: 6') or Mozilla JS extensions (use moz).
src/components/Piece.jsx: line 43, col 23, 'arrow function syntax (=>)' is only available in ES6 (use 'esversion: 6').
src/components/Piece.jsx: line 47, col 9, 'const' is available in ES6 (use 'esversion: 6') or Mozilla JS extensions (use moz).
src/components/Piece.jsx: line 47, col 9, 'destructuring binding' is available in ES6 (use 'esversion: 6') or Mozilla JS extensions (use moz).
src/components/Piece.jsx: line 52, col 21, Expected an identifier and instead saw '<'.
src/components/Piece.jsx: line 52, col 22, Expected ')' and instead saw 'img'.
src/components/Piece.jsx: line 52, col 25, Missing semicolon.
src/components/Piece.jsx: line 52, col 53, Missing semicolon.
src/components/Piece.jsx: line 53, col 33, Expected '}' to match '{' from line 53 and instead saw '{'.
src/components/Piece.jsx: line 53, col 34, Missing semicolon.
src/components/Piece.jsx: line 54, col 39, Label 'opacity' on isDragging statement.
src/components/Piece.jsx: line 55, col 30, Expected an assignment or function call and instead saw an expression.
src/components/Piece.jsx: line 55, col 36, Missing semicolon.
src/components/Piece.jsx: line 55, col 36, Expected '}' to match '{' from line 50 and instead saw ':'.
src/components/Piece.jsx: line 56, col 30, Expected an assignment or function call and instead saw an expression.
src/components/Piece.jsx: line 56, col 36, Missing semicolon.
src/components/Piece.jsx: line 56, col 36, Expected '}' to match '{' from line 49 and instead saw ':'.
src/components/Piece.jsx: line 57, col 30, Expected an assignment or function call and instead saw an expression.
src/components/Piece.jsx: line 57, col 35, Missing semicolon.
src/components/Piece.jsx: line 57, col 35, Expected '}' to match '{' from line 46 and instead saw ':'.
src/components/Piece.jsx: line 57, col 42, Class properties must be methods. Expected '(' but instead saw ','.
src/components/Piece.jsx: line 60, col 26, Expected '(' and instead saw '}'.
src/components/Piece.jsx: line 60, col 27, Expected an identifier and instead saw '}'.
src/components/Piece.jsx: line 61, col 22, Unclosed regular expression.
src/components/Piece.jsx: line 61, col 22, Unrecoverable syntax error. (50% scanned).

src/components/Square.jsx: line 1, col 1, 'import' is only available in ES6 (use 'esversion: 6').
src/components/Square.jsx: line 2, col 1, 'import' is only available in ES6 (use 'esversion: 6').
src/components/Square.jsx: line 4, col 1, 'export' is only available in ES6 (use 'esversion: 6').
src/components/Square.jsx: line 4, col 16, 'class' is available in ES6 (use 'esversion: 6') or Mozilla JS extensions (use moz).
src/components/Square.jsx: line 6, col 9, 'const' is available in ES6 (use 'esversion: 6') or Mozilla JS extensions (use moz).
src/components/Square.jsx: line 6, col 9, 'destructuring binding' is available in ES6 (use 'esversion: 6') or Mozilla JS extensions (use moz).
src/components/Square.jsx: line 7, col 9, 'const' is available in ES6 (use 'esversion: 6') or Mozilla JS extensions (use moz).
src/components/Square.jsx: line 21, col 14, Unclosed regular expression.
src/components/Square.jsx: line 21, col 14, Unrecoverable syntax error. (72% scanned).

src/components/SquareContainer.jsx: line 1, col 1, 'import' is only available in ES6 (use 'esversion: 6').
src/components/SquareContainer.jsx: line 2, col 1, 'import' is only available in ES6 (use 'esversion: 6').
src/components/SquareContainer.jsx: line 3, col 1, 'import' is only available in ES6 (use 'esversion: 6').
src/components/SquareContainer.jsx: line 4, col 1, 'import' is only available in ES6 (use 'esversion: 6').
src/components/SquareContainer.jsx: line 5, col 1, 'import' is only available in ES6 (use 'esversion: 6').
src/components/SquareContainer.jsx: line 6, col 1, 'import' is only available in ES6 (use 'esversion: 6').
src/components/SquareContainer.jsx: line 8, col 1, 'const' is available in ES6 (use 'esversion: 6') or Mozilla JS extensions (use moz).
src/components/SquareContainer.jsx: line 9, col 5, 'concise methods' is available in ES6 (use 'esversion: 6') or Mozilla JS extensions (use moz).
src/components/SquareContainer.jsx: line 13, col 5, 'concise methods' is available in ES6 (use 'esversion: 6') or Mozilla JS extensions (use moz).
src/components/SquareContainer.jsx: line 26, col 1, 'class' is available in ES6 (use 'esversion: 6') or Mozilla JS extensions (use moz).
src/components/SquareContainer.jsx: line 38, col 15, Unclosed regular expression.
src/components/SquareContainer.jsx: line 38, col 15, Unrecoverable syntax error. (53% scanned).

src/components/StartButton.jsx: line 1, col 1, 'import' is only available in ES6 (use 'esversion: 6').
src/components/StartButton.jsx: line 2, col 1, 'import' is only available in ES6 (use 'esversion: 6').
src/components/StartButton.jsx: line 4, col 1, 'export' is only available in ES6 (use 'esversion: 6').
src/components/StartButton.jsx: line 4, col 16, 'class' is available in ES6 (use 'esversion: 6') or Mozilla JS extensions (use moz).
src/components/StartButton.jsx: line 11, col 16, Expected an identifier and instead saw '<'.
src/components/StartButton.jsx: line 11, col 17, Missing semicolon.
src/components/StartButton.jsx: line 11, col 17, Expected an assignment or function call and instead saw an expression.
src/components/StartButton.jsx: line 11, col 23, Missing semicolon.
src/components/StartButton.jsx: line 11, col 37, Expected ':' and instead saw '.'.
src/components/StartButton.jsx: line 11, col 50, Missing semicolon.
src/components/StartButton.jsx: line 11, col 71, Missing semicolon.
src/components/StartButton.jsx: line 11, col 84, Missing semicolon.
src/components/StartButton.jsx: line 11, col 104, Unclosed regular expression.
src/components/StartButton.jsx: line 11, col 104, Unrecoverable syntax error. (78% scanned).

src/components/Turn.jsx: line 1, col 1, 'import' is only available in ES6 (use 'esversion: 6').
src/components/Turn.jsx: line 2, col 1, 'import' is only available in ES6 (use 'esversion: 6').
src/components/Turn.jsx: line 4, col 1, 'export' is only available in ES6 (use 'esversion: 6').
src/components/Turn.jsx: line 4, col 16, 'class' is available in ES6 (use 'esversion: 6') or Mozilla JS extensions (use moz).
src/components/Turn.jsx: line 6, col 9, 'const' is available in ES6 (use 'esversion: 6') or Mozilla JS extensions (use moz).
src/components/Turn.jsx: line 6, col 9, 'destructuring binding' is available in ES6 (use 'esversion: 6') or Mozilla JS extensions (use moz).
src/components/Turn.jsx: line 7, col 9, 'const' is available in ES6 (use 'esversion: 6') or Mozilla JS extensions (use moz).
src/components/Turn.jsx: line 11, col 14, Unclosed regular expression.
src/components/Turn.jsx: line 11, col 14, Unrecoverable syntax error. (73% scanned).

src/components/UsernameInput.jsx: line 1, col 1, 'import' is only available in ES6 (use 'esversion: 6').
src/components/UsernameInput.jsx: line 2, col 1, 'import' is only available in ES6 (use 'esversion: 6').
src/components/UsernameInput.jsx: line 4, col 1, 'export' is only available in ES6 (use 'esversion: 6').
src/components/UsernameInput.jsx: line 4, col 16, 'class' is available in ES6 (use 'esversion: 6') or Mozilla JS extensions (use moz).
src/components/UsernameInput.jsx: line 15, col 18, Unclosed regular expression.
src/components/UsernameInput.jsx: line 15, col 18, Unrecoverable syntax error. (75% scanned).

src/components/Validation.jsx: line 1, col 1, 'let' is available in ES6 (use 'esversion: 6') or Mozilla JS extensions (use moz).
src/components/Validation.jsx: line 2, col 1, 'let' is available in ES6 (use 'esversion: 6') or Mozilla JS extensions (use moz).
src/components/Validation.jsx: line 3, col 1, 'let' is available in ES6 (use 'esversion: 6') or Mozilla JS extensions (use moz).
src/components/Validation.jsx: line 4, col 1, 'let' is available in ES6 (use 'esversion: 6') or Mozilla JS extensions (use moz).
src/components/Validation.jsx: line 5, col 1, 'let' is available in ES6 (use 'esversion: 6') or Mozilla JS extensions (use moz).
src/components/Validation.jsx: line 6, col 1, 'let' is available in ES6 (use 'esversion: 6') or Mozilla JS extensions (use moz).
src/components/Validation.jsx: line 7, col 1, 'let' is available in ES6 (use 'esversion: 6') or Mozilla JS extensions (use moz).
src/components/Validation.jsx: line 9, col 1, 'let' is available in ES6 (use 'esversion: 6') or Mozilla JS extensions (use moz).
src/components/Validation.jsx: line 10, col 1, 'let' is available in ES6 (use 'esversion: 6') or Mozilla JS extensions (use moz).
src/components/Validation.jsx: line 11, col 1, 'let' is available in ES6 (use 'esversion: 6') or Mozilla JS extensions (use moz).
src/components/Validation.jsx: line 12, col 1, 'let' is available in ES6 (use 'esversion: 6') or Mozilla JS extensions (use moz).
src/components/Validation.jsx: line 13, col 1, 'let' is available in ES6 (use 'esversion: 6') or Mozilla JS extensions (use moz).
src/components/Validation.jsx: line 14, col 1, 'let' is available in ES6 (use 'esversion: 6') or Mozilla JS extensions (use moz).
src/components/Validation.jsx: line 15, col 1, 'let' is available in ES6 (use 'esversion: 6') or Mozilla JS extensions (use moz).
src/components/Validation.jsx: line 16, col 1, 'let' is available in ES6 (use 'esversion: 6') or Mozilla JS extensions (use moz).
src/components/Validation.jsx: line 17, col 1, 'let' is available in ES6 (use 'esversion: 6') or Mozilla JS extensions (use moz).
src/components/Validation.jsx: line 18, col 1, 'let' is available in ES6 (use 'esversion: 6') or Mozilla JS extensions (use moz).
src/components/Validation.jsx: line 19, col 1, 'let' is available in ES6 (use 'esversion: 6') or Mozilla JS extensions (use moz).
src/components/Validation.jsx: line 25, col 1, 'export' is only available in ES6 (use 'esversion: 6').
src/components/Validation.jsx: line 33, col 13, 'arrow function syntax (=>)' is only available in ES6 (use 'esversion: 6').
src/components/Validation.jsx: line 38, col 1, 'export' is only available in ES6 (use 'esversion: 6').
src/components/Validation.jsx: line 46, col 1, 'export' is only available in ES6 (use 'esversion: 6').
src/components/Validation.jsx: line 47, col 5, 'destructuring binding' is available in ES6 (use 'esversion: 6') or Mozilla JS extensions (use moz).
src/components/Validation.jsx: line 72, col 30, Missing semicolon.
src/components/Validation.jsx: line 82, col 9, 'i' is already defined.
src/components/Validation.jsx: line 84, col 30, Missing semicolon.
src/components/Validation.jsx: line 117, col 9, 'destructuring binding' is available in ES6 (use 'esversion: 6') or Mozilla JS extensions (use moz).
src/components/Validation.jsx: line 130, col 53, Missing semicolon.
src/components/Validation.jsx: line 138, col 53, Missing semicolon.
src/components/Validation.jsx: line 146, col 53, Missing semicolon.
src/components/Validation.jsx: line 154, col 53, Missing semicolon.
src/components/Validation.jsx: line 168, col 49, Missing semicolon.
src/components/Validation.jsx: line 181, col 49, Missing semicolon.
src/components/Validation.jsx: line 194, col 49, Missing semicolon.
src/components/Validation.jsx: line 207, col 49, Missing semicolon.
src/components/Validation.jsx: line 242, col 1, 'export' is only available in ES6 (use 'esversion: 6').
src/components/Validation.jsx: line 277, col 25, Misleading line break before '||'; readers may interpret this as an expression boundary.
src/components/Validation.jsx: line 278, col 21, Misleading line break before '&&'; readers may interpret this as an expression boundary.
src/components/Validation.jsx: line 290, col 25, Misleading line break before '||'; readers may interpret this as an expression boundary.
src/components/Validation.jsx: line 291, col 21, Misleading line break before '&&'; readers may interpret this as an expression boundary.
src/components/Validation.jsx: line 304, col 21, Misleading line break before '||'; readers may interpret this as an expression boundary.
src/components/Validation.jsx: line 305, col 21, Misleading line break before '||'; readers may interpret this as an expression boundary.
src/components/Validation.jsx: line 306, col 21, Misleading line break before '||'; readers may interpret this as an expression boundary.
src/components/Validation.jsx: line 307, col 17, Misleading line break before '&&'; readers may interpret this as an expression boundary.
src/components/Validation.jsx: line 319, col 21, Misleading line break before '||'; readers may interpret this as an expression boundary.
src/components/Validation.jsx: line 320, col 21, Misleading line break before '||'; readers may interpret this as an expression boundary.
src/components/Validation.jsx: line 321, col 21, Misleading line break before '||'; readers may interpret this as an expression boundary.
src/components/Validation.jsx: line 322, col 17, Misleading line break before '&&'; readers may interpret this as an expression boundary.
src/components/Validation.jsx: line 376, col 9, Misleading line break before '&&'; readers may interpret this as an expression boundary.
src/components/Validation.jsx: line 382, col 54, Missing semicolon.
src/components/Validation.jsx: line 387, col 54, Missing semicolon.

src/public/js/bundle.js: line 106, col 6, Missing semicolon.
src/public/js/bundle.js: line 243, col 48, Missing semicolon.
src/public/js/bundle.js: line 243, col 50, Missing semicolon.
src/public/js/bundle.js: line 249, col 39, Missing semicolon.
src/public/js/bundle.js: line 301, col 156, ['a'] is better written in dot notation.
src/public/js/bundle.js: line 303, col 145, ['a'] is better written in dot notation.
src/public/js/bundle.js: line 304, col 145, ['b'] is better written in dot notation.
src/public/js/bundle.js: line 308, col 150, ['a'] is better written in dot notation.
src/public/js/bundle.js: line 309, col 150, ['b'] is better written in dot notation.
src/public/js/bundle.js: line 310, col 150, ['e'] is better written in dot notation.
src/public/js/bundle.js: line 311, col 150, ['c'] is better written in dot notation.
src/public/js/bundle.js: line 312, col 150, ['d'] is better written in dot notation.
src/public/js/bundle.js: line 313, col 150, ['f'] is better written in dot notation.
src/public/js/bundle.js: line 314, col 150, ['g'] is better written in dot notation.
src/public/js/bundle.js: line 319, col 138, ['a'] is better written in dot notation.
src/public/js/bundle.js: line 321, col 152, ['a'] is better written in dot notation.
src/public/js/bundle.js: line 322, col 152, ['b'] is better written in dot notation.
src/public/js/bundle.js: line 323, col 152, ['c'] is better written in dot notation.
src/public/js/bundle.js: line 324, col 152, ['d'] is better written in dot notation.
src/public/js/bundle.js: line 325, col 152, ['e'] is better written in dot notation.
src/public/js/bundle.js: line 326, col 152, ['f'] is better written in dot notation.
src/public/js/bundle.js: line 327, col 152, ['g'] is better written in dot notation.
src/public/js/bundle.js: line 328, col 152, ['h'] is better written in dot notation.
src/public/js/bundle.js: line 330, col 150, ['a'] is better written in dot notation.
src/public/js/bundle.js: line 332, col 147, ['a'] is better written in dot notation.
src/public/js/bundle.js: line 334, col 152, ['a'] is better written in dot notation.
src/public/js/bundle.js: line 337, col 152, ['b'] is better written in dot notation.
